id,edit_history_tweet_ids,created_at,text,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count
1777048841683865606,['1777048841683865606'],2024-04-07T19:00:34.000Z,"Dev Patel discusses his starring role and directorial feature debut in #MonkeyMan, including the challenges he faced while filming with a broken hand. ðŸ˜¬ https://t.co/u3VtVoboMn https://t.co/2KHpRtUsEE",19,12,93,2,5,47881
1776762134728265975,['1776762134728265975'],2024-04-07T00:01:18.000Z,"#DaisyRidley and the creators of #Magpie discuss her initial idea for the film, the visual inspirations for the movie, complex characters, and more. https://t.co/jurs7PRv1C",18,27,84,1,9,58027
1776346576690028667,['1776346576690028667'],2024-04-05T20:30:01.000Z,"Big news, Disney fans! ðŸ’« The studio announced that 'The Mandalorian &amp; Grogu,' a feature-length spinoff of the Disney+ series 'The Mandalorian,' is officially coming May 2026. 'Toy Story 5' will follow shortly after in June 2026. https://t.co/rFIPeDxoxW https://t.co/vxa0DDEep5",38,25,194,6,6,45572
1776324118821920777,['1776324118821920777'],2024-04-05T19:00:47.000Z,"#TheFirstOmen star Nell Tiger Free drops by to talk about her lead role in the new horror film, her #Servant crush, and of course, her life as a ""Gleek."" https://t.co/mrjG5tMiV8 https://t.co/5XxvXMm3rb",22,4,82,5,14,35915
1776248432786542853,['1776248432786542853'],2024-04-05T14:00:02.000Z,"While filming 'A Quiet Place', Emily Blunt did the bathtub scene in one take. According to John Krasinski, as soon as he said ""Cut"", Blunt left the character and asked the crew, ""What's everyone having for lunch?"" ðŸ¥ª https://t.co/bWaemjN2UY",39,11,341,10,14,50486
1775991740245160126,['1775991740245160126'],2024-04-04T21:00:01.000Z,"Do you prefer the smoky-eyed soldier or the clean-cut compatriot? #SebastianStan as Bucky Barnes, aka the #MCU's Winter Soldier, then and now. #TBT https://t.co/90bPoTaMx2 https://t.co/dSUN99KMZc",72,24,425,49,27,56973
1775961680695931075,['1775961680695931075'],2024-04-04T19:00:35.000Z,#Ripley stars Andrew Scott and Dakota Fanning share how the directorial style allowed them to experiment and expand upon the already detailed script. https://t.co/cGJkJ8JZpF https://t.co/PhvLGF1y7Y,23,9,70,2,6,31523
1775931433116147911,['1775931433116147911'],2024-04-04T17:00:23.000Z,You know she's that bâ€”tch when she cause all this conversation. ðŸ‘‘ @Beyonce #CowboyCarter https://t.co/i7uq88fs5O,9,5,54,1,2,30788
1775754506707345432,['1775754506707345432'],2024-04-04T05:17:20.000Z,How it started vs. how it's going. #DaredevilBornAgain https://t.co/l6QbpMbL45,145,16,1140,10,42,94089
1775675448569020877,['1775675448569020877'],2024-04-04T00:03:12.000Z,"Marvel Studios has cast Emmy-winning actress Julia Garner as Shalla-Bal, a version of Silver Surfer, in #TheFantasticFour. 

She'll join Pedro Pascal as Mr. Fantastic, Vanessa Kirby as the Invisible Woman, Joseph Quinn as the Human Torch, and Ebon Moss-Bachrach as the Thing. https://t.co/QA5RGa53Xs",32,25,231,12,12,61709
